,MUSE-SBSA,MUSE-SBSB,MUSE-SBSC,MUSE-SBSD,MUSE-SBSE
0,0.008632784,0.01221679,0.01591123,0.0230407,0.0044524213
1,0.004959488,0.007713123,0.015939068,0.018591922,0.0019701626
2,0.000995583,0.0027669726,0.0023497627,0.0038621589,0.00056374865
3,0.0058960565,0.006536049,0.007078023,0.006743744,0.002497489
4,0.0048026433,0.014337307,0.005890155,0.0071628005,0.003136528
5,0.0021770424,0.0066294223,0.00290033,0.004756217,0.0015585278
6,0.0013096284,0.0045148195,0.0018861223,0.0019624126,0.00018559168
7,0.0058870576,0.012227238,0.0066438043,0.0067745103,0.0030128967
8,0.009658917,0.03091084,0.018832117,0.021486048,0.0077725933
9,0.0047924034,0.016550593,0.009017457,0.014037767,0.0033058375
10,0.009688851,0.014294632,0.111986354,0.0099661825,0.006811172
11,0.007820003,0.02390619,0.010033781,0.01576243,0.0041631805
12,0.00570357,0.01025431,0.008601163,0.012448665,0.0012413139
13,0.0026323772,0.0071131065,0.0063043153,0.005145027,0.0011380699
14,0.0033889986,0.007132319,0.007088004,0.008607039,0.0010372542
15,0.007514796,0.015101592,0.01734789,0.011087233,0.002064851
16,0.009616377,0.06648843,0.02377049,0.05669726,0.0057276743
17,0.0024106144,0.02081164,0.0066230996,0.0048798067,0.0013622979
18,0.0055640647,0.04311765,0.012540238,0.026243225,0.0028120563
19,0.009837637,0.044284932,0.01715672,0.024163697,0.0038329698
20,0.0017987571,0.008637855,0.0030786635,0.0033115204,0.0004754539
21,0.0007085552,0.0045362897,0.001788149,0.0009980124,0.0003593099
22,0.00092250836,0.0083395075,0.0029262812,0.0022008084,0.0005417402
23,0.002363752,0.016869621,0.006191421,0.0033367053,0.00080709346
24,0.01114517,0.0148434015,0.011082835,0.023584928,0.0027387647
25,0.006015041,0.0074197957,0.01097771,0.019455131,0.0025466832
26,0.0019531832,0.0034241327,0.0008094362,0.00477169,0.0009455524
27,0.00686871,0.008481747,0.013193744,0.019353447,0.0022076305
28,0.002789536,0.013833967,0.0020903312,0.0063929604,0.003906321
29,0.003186199,0.0136447055,0.0034597176,0.005472053,0.0018238209
30,0.0004172513,0.014239284,0.00082474836,0.0017664658,0.0006397544
31,0.00520261,0.01773223,0.0031572252,0.0077079823,0.0049095033
32,0.015272593,0.034514636,0.014404647,0.02472562,0.013224053
33,0.010267533,0.023226123,0.018617053,0.024299217,0.0058912532
34,0.0044136215,0.01015315,0.07327657,0.011165623,0.0057110516
35,0.014271547,0.03517894,0.022560509,0.030832175,0.008574304
36,0.0027285821,0.0042147404,0.0033686361,0.010459194,0.0009324055
37,0.0030760665,0.006308445,0.005028968,0.006872115,0.0016079778
38,0.0031272867,0.0067368196,0.0044225818,0.012168551,0.00089091656
39,0.0043267002,0.0058999876,0.0065651895,0.0123748705,0.0011543548
40,0.0035849032,0.016542539,0.006231582,0.022608632,0.0016566397
41,0.0020248326,0.00730465,0.005560345,0.0049015223,0.0018057594
42,0.0027570825,0.02052972,0.005525729,0.011854715,0.0012444621
43,0.0037605576,0.0147687495,0.009489626,0.014708589,0.0016318699
44,0.0007710315,0.009589308,0.002623507,0.001982327,0.00040733986
45,0.0007803782,0.0073782178,0.0020750007,0.0012573447,0.0005068175
46,0.0014879592,0.009393366,0.0025961024,0.0032365727,0.00075009593
47,0.0017181266,0.021640357,0.009298483,0.0029283832,0.0011256983
48,0.006405478,0.005003556,0.019971158,0.016599452,0.0022456436
49,0.0043646446,0.0050667436,0.0077702166,0.014758281,0.0020956292
50,0.0011600975,0.0017575894,0.0026369106,0.0041184765,0.0006455007
51,0.0048529035,0.004018685,0.01181497,0.014314388,0.0019508762
52,0.0020261605,0.004152241,0.002407094,0.005688146,0.0012765668
53,0.0014233692,0.0064762114,0.0027848915,0.003902889,0.00083404
54,0.00085715746,0.0020273656,3.4861157e-05,0.0011684839,0.00051204476
55,0.0029612435,0.0069845705,0.001999649,0.0044009266,0.0022250302
56,0.010469521,0.018118937,0.01171122,0.018337486,0.006980012
57,0.008647103,0.015683427,0.018158432,0.014567167,0.004759553
58,0.009776275,0.006466375,0.09732769,0.0078697335,0.0055643697
59,0.010026505,0.014075865,0.021618152,0.019624447,0.0043106647
60,0.0019833795,0.005232637,0.0018870614,0.006978427,0.0006350009
61,0.0012432581,0.0054999404,0.0021882697,0.0033309981,0.0005023424
62,0.0019515448,0.006026322,0.0027686637,0.0067985854,0.0004916076
63,0.002811994,0.006685032,0.0024416645,0.0070851753,0.0007056418
64,0.0024454738,0.027371991,0.013288577,0.02221242,0.0022534556
65,0.0009462667,0.012613833,0.00937738,0.0032272288,0.0008152785
66,0.0020299198,0.016604643,0.008323112,0.0076928437,0.0018472399
67,0.0036217514,0.020881336,0.012221632,0.011413401,0.0015702664
68,0.00052624394,0.005010055,0.00088752585,0.0013338379,0.00036266647
69,0.0005820766,0.0025742284,0.0014858389,0.0010475563,0.00022454323
70,0.0012974422,0.0050346116,0.0031157031,0.003397239,0.00045865215
71,0.001432306,0.007867559,0.0044422196,0.0013311539,0.00094086805
72,0.035606347,0.022515208,0.016338978,0.018914988,0.027280038
73,0.018500602,0.016390063,0.010230729,0.019285323,0.011761708
74,0.004031549,0.0026323241,0.0039798026,0.0038946222,0.002828835
75,0.025863003,0.01589902,0.031718172,0.02209039,0.01566505
76,0.15143767,0.045691065,0.0026383225,0.011346591,0.14268513
77,0.03354116,0.017080843,0.0037242076,0.0056441305,0.030560652
78,0.007048279,0.006843967,0.0013170926,0.0015514883,0.0062196767
79,0.18768144,0.036631458,0.028882334,0.014264107,0.17613007
80,0.11337604,0.10454156,0.04646939,0.022140853,0.2538323
81,0.0343917,0.03491997,0.01978836,0.014972406,0.042653956
82,0.018606868,0.014235993,0.061219167,0.0048858398,0.027686384
83,0.045032937,0.073442265,0.029698556,0.019972071,0.11412604
84,0.006935312,0.011160193,0.016368171,0.0119454395,0.0017377014
85,0.0027981873,0.007316229,0.0042434903,0.0053521455,0.0011588344
86,0.0023854852,0.007634584,0.0016795229,0.0068006455,0.00066585245
87,0.00572314,0.01190407,0.009020405,0.011337053,0.002543515
88,0.0036554548,0.02643542,0.010693003,0.025229577,0.002623264
89,0.0031101743,0.0147399185,0.009143546,0.005702387,0.0007604185
90,0.0015490424,0.015461093,0.0087595945,0.009619529,0.0017516654
91,0.0063733123,0.022161987,0.011735022,0.015052544,0.002101057
92,0.001786192,0.014711293,0.002820805,0.0035889528,0.0006513226
93,0.0008874197,0.008706675,0.0029050042,0.0012281748,0.00039612874
94,0.0015009964,0.0102562215,0.0034568743,0.0043433076,0.0007648583
95,0.004174662,0.031150337,0.012390392,0.004165938,0.0018380147
